species,chromosome_number
GB_Brachycarpus_Astragalus_melanostachys_P063_WG01,6
GC_Bucerates_Astragalus_trimestris_P074_WB06,6
GA_Caprini_Astragalus_monanthemus_P072_WG03,7
GG_Hymenostegis_Astragalus_laguriformis_P066_WC07,7
Astragalus_clusii_P074_WH05,8
Astragalus_xiphidioides_P007_WH07,8
Erophaca_baetica_P084_WC04,8
GA_Aegacantha_Astragalus_bornmuelleranus_P072_WH11,8
GA_Aegacantha_Astragalus_lasiosemius_P066_WD11,8
GA_Aegacantha_Astragalus_psilacanthus_P008_WG08,8
GA_Aegacantha_Astragalus_zanskarensis_P001_WF06,8
GA_Alopecuroidei_Astragalus_alopecias_P072_WE01,8
GA_Alopecuroidei_Astragalus_alopecurus_P013_WG12,8
GA_Alopecuroidei_Astragalus_globiceps_P071_WH02,8
GA_Alopecuroidei_Astragalus_globiceps_P072_WB02,8
GA_Alopecuroidei_Astragalus_ponticus_P009_WC08,8
GA_Alopecuroidei_Astragalus_schahrudensis_P009_WA09,8
GA_Astragalus_Astragalus_caraganae_P075_WH06,8
GA_Astragalus_Astragalus_retamocarpus_P008_WG03,8
GA_Caprini_Astragalus_aegobromus_P009_WG05,8
GA_Caprini_Astragalus_caprinus_P014_WB10,8
GA_Caprini_Astragalus_exscapus_P014_WD07,8
GA_Caprini_Astragalus_ibicinus_P077_WC09,8
GA_Caprini_Astragalus_laetus_P066_WC12,8
GA_Caprini_Astragalus_longipetalus_P072_WD11,8
GA_Caprini_Astragalus_macropelmatus_P063_WH10,8
GA_Caprini_Astragalus_pinetorum_P077_WG10,8
GA_Caprini_Astragalus_pinetorum_P100_WD03,8
GA_Caprini_Astragalus_rhizanthus_P014_WA10,8
GA_Caprini_Astragalus_schanginianus_P009_WA10,8
GA_Caprini_Astragalus_webbianus_P007_WF03,8
GA_Cenantrum_Astragalus_ernestii_P013_WG01,8
GA_Cenantrum_Astragalus_frigidus_P010_WD08,8
GA_Cenantrum_Astragalus_frigidus_P071_WF04,8
GA_Cenantrum_Astragalus_frigidus_P100_WC11,8
GA_Cenantrum_Astragalus_mongholicus_P008_WD09,8
GA_Cenantrum_Astragalus_mongholicus_P013_WE09,8
GA_Cenantrum_Astragalus_mongholicus_P013_WF09,8
